33,"eri | ... | ... | ... | 1 |  /  | 6 | 165 000 € | 3300 €/m² | Apartament cu 2 camere de vanzare Piata Unirii | Centru, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 50 m² | Etaj | 7 etajul | Vezi descrierea anunțului | Vrei s&#259; locuie&#537;ti &icirc;n centrul ora&#537;ului Ia&#537;i?&Icirc;&#539;i propunem spre v&acirc;nzare un apartament cu 2 camere, semidecomandat, confort 1, situat &icirc;n zona Pia&#539;a Un... | IMPERIA IMOBILIARE | Agenție imobiliară"
34,"1 |  /  | 8 | 60 000 € | 1500 €/m² | STEJARILOR RESIDENCE - Apartament 2 camere | Mutare imediata | CUG, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 40 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Profită de ofertă la Stejarilor Residence, Lunca Cetățuii - Iași!*PLATIM NOI TAXELE NOTARIALE!ATENTIE! Oferta limitatăPOZE REALE cu caracter informativ (din imobilele finalizate)*Apartamentele nu se p... | Reactualizat | Stejarilor Residence | Dezvoltator"
35,"72 500 € | 1768 €/m² | Etaj 1 Apartament 1 Camera Decomandat 41mp Bloc 2019 zona Cug | CUG, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 41 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Va propun spre vanzare un apartament cu 1 camera decomandat suprafata 41mp situat la etajul 1 din 4 intr-un bloc nou construit pe cadre in 2019. Imobilul se vinde mobilat si utilat. Blocul beneficiaza... | ZDA | Agenție imobiliară"
36,"1 |  /  | 11 | 124 000 € | 1771 €/m² | Ap 3 Camere, 70 mp, etaj 2, bloc din 1985, Mutare Imediata, Nicolina | Nicolina 1, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 70 m² | Vezi descrierea anunțului | Apartament 3 camere, DECOMANDAT, mobilat si utilat, aflat la ETAJUL 2/4, intr-un bloc din anul 1985 din zona NicolinaApartamentul are o suprafata de aproximativ 70 mp si este compus din: camera de zi,... | Reactualizat | Greenland Imobiliare | Agenție imobiliară"
37,"1 |  /  | 12 | 114 500 € | 1877 €/m² | Ap 3 Cam, 60 mp, Bloc fara RISC, et 3/4, INTABULAT, Pod Ros Cantemir | Bulevardul Dimitrie Cantemir, Podu Ros, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 61 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Pret 114.500 Euro NegociabilSe accepta si Credit IPOTECAR!Apartament 3 Camere, 60 mp, Etaj 3/4 , Bloc fara Risc, INTABULAT, foarte bine intretinut, central Bulevardul Dimitrie Cantemir!Apartamentul ar... | Reactualizat | Greenland Imobiliare | Agenție imobiliară"
38,"eri | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 12 | 70 000 € | 1944 €/m² | Apartament 1 camera decomandat bloc nou zona Pd Fier Moara de Vant | Moara de Vant, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 36 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Apartament 1 camera de vanzare bloc nou zona Pd Fier Moara de Vant Avem plăcerea de a vă oferi spre vânzare in Exclusivitate un apartament cu 1 camera decomandat, spațios și luminos, bloc nou Moara de... | TNT Imobiliare | Agenție imobiliară"
39,"1 |  /  | 7 | 46 000 € | 1917 €/m² | Garsoniera 24 mp, mobilata, ETAJ 1, fara risc, Nicolina | Nicolina 1, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 24 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Garsoniera 24 mp, aflata la ETAJUL 1 intr-un bloc fara risc seismic din zona NicolinaGarsoniera este compusa din camera de zi, bucatarie, hol, baie si balcon inchis;Blocul este pozitionat intr-o zona ... | Reactualizat | Greenland Imobiliare | Agenție imobiliară"
40,"cum 6 zile | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 14 | 53 000 € | 1710 €/m² | Ocazie rara in cartierul Visoianu - Lunca Cetatuii Iași 1 camera lift | Strada Malinului, Ciurea, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 31 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Ocazie rara - finalizat - intabulat - pregătit pentru mutare!
Se accepta credit ipotecar!
Apartament de 30.8 mp, etaj 4 din 10 cu 2 lifturi, bucătărie separata, posibilitate de modificare la interio... | Reactualizat | GLADIATOR Imobiliare | Agenție imobiliară"
41,"eri | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 10 | 82 000 € | 1708 €/m² | Apartament cu 2 camere de vanzare | Tatarasi Sud, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 48 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Se ofer&#259; spre v&acirc;nzare un apartament cu 2 camere situat &icirc;n T&#259;t&#259;ra&#537;i, zona magazinului Flux, &icirc;ntr-un bloc f&#259;r&#259; risc seismic, pozi&#539;ionat excelent, apr... | ANDREI FURNICA IMOBILIARE IASI | Agenție imobiliară"
42,"1 |  /  | 10 | 86 000 € | 1564 €/m² | OPORTUNITATE DE INVESTITIE: Apartament bucatarie mobilata +loc parcare | CUG, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 55 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Apartament cu 2 camere, 55 mp utili, situat la etajul 1, capăt CUG – Expo MobilaDescoperă confortul și lumina naturală într-un apartament spațios, amplasat într-un bloc nou, cu finisaje moderne și dot... | Reactualizat | Creative Real Imob | Agenție imobiliară"
