,Pret,Suprafata_Utila,Camere,Pret_mp,Zona,Vechime_Imobil,Compartimentare
2370,122000,75.0,3,1626.67,Centru-Civic,Clasic (1977-2000),Decomandat
2372,88000,56.0,2,1571.43,Nicolina-CUG,Clasic (1977-2000),Decomandat
2375,87610,51.0,1,1717.84,Copou-Saras,Nou (Post-2000),Decomandat
2396,123900,70.0,3,1770.0,Alexandru-Dacia,Clasic (1977-2000),Nespecificat
2397,92000,56.0,2,1642.86,Tatarasi-Tudor,Nou (Post-2000),Nespecificat
2399,95000,54.0,2,1759.26,Tatarasi-Tudor,Clasic (1977-2000),Decomandat
2402,119000,50.0,2,2380.0,Nicolina-CUG,Nou (Post-2000),Nespecificat
2404,104900,67.0,3,1565.67,Alexandru-Dacia,Clasic (1977-2000),Decomandat
2409,89900,41.0,2,2192.68,Pacurari-Canta,Clasic (1977-2000),Decomandat
2412,112999,60.0,3,1883.32,Nicolina-CUG,Clasic (1977-2000),Decomandat
2416,99900,46.0,2,2171.74,Centru-Civic,Clasic (1977-2000),Decomandat
2426,81000,40.0,1,2025.0,Pacurari-Canta,Nou (Post-2000),Nespecificat
2431,128900,79.0,3,1631.65,Tatarasi-Tudor,Clasic (1977-2000),Decomandat
2433,85000,55.0,2,1545.45,Nicolina-CUG,Clasic (1977-2000),Decomandat
2441,127000,59.0,2,2152.54,Tatarasi-Tudor,Clasic (1977-2000),Decomandat
2450,119000,53.0,2,2245.28,Nicolina-CUG,Nou (Post-2000),Nespecificat
2457,71000,41.0,2,1731.71,Pacurari-Canta,Vechi (Pre-1977),Nespecificat
2458,109000,65.0,3,1676.92,Galata-Frumoasa,Clasic (1977-2000),Decomandat
2459,78500,44.0,2,1784.09,Alexandru-Dacia,Clasic (1977-2000),Decomandat
2460,120000,70.0,3,1714.29,Alexandru-Dacia,Clasic (1977-2000),Decomandat
2468,39900,20.0,1,1995.0,Alexandru-Dacia,Clasic (1977-2000),Nespecificat
2469,57500,35.0,2,1642.86,Nicolina-CUG,Nou (Post-2000),Nespecificat
2472,150365,88.45,3,1700.0,Nicolina-CUG,Nou (Post-2000),Nespecificat
2473,104788,61.64,2,1700.0,Nicolina-CUG,Nou (Post-2000),Nespecificat
2475,135000,67.0,3,2014.93,Podu-Ros-Cantemir,Nou (Post-2000),Nespecificat
2477,85000,43.0,2,1976.74,Pacurari-Canta,Clasic (1977-2000),Semidecomandat
2479,119500,73.0,3,1636.99,Nicolina-CUG,Clasic (1977-2000),Decomandat
