,Pret,Suprafata_Utila,Camere,Pret_mp,Zona,Vechime_Imobil,Compartimentare,Tip_Zona
230,123000,58.0,3,2120.69,Podu-Ros-Cantemir,Clasic (1977-2000),Semidecomandat,Standard/Urban
234,96900,54.0,2,1794.44,Podu-Ros-Cantemir,Vechi (Pre-1977),Semidecomandat,Standard/Urban
240,131900,72.0,3,1831.94,Nicolina-CUG,Clasic (1977-2000),Nespecificat,Accesibil/Rezidential
244,38000,30.0,1,1266.67,Podu-Ros-Cantemir,Nou (Post-2000),Nespecificat,Standard/Urban
249,117900,62.0,2,1901.61,Nicolina-CUG,Nou (Post-2000),Nespecificat,Accesibil/Rezidential
251,110000,50.5,2,2178.22,Podu-Ros-Cantemir,Nou (Post-2000),Nespecificat,Standard/Urban
254,98500,49.8,2,1977.91,Copou-Saras,Clasic (1977-2000),Nespecificat,Premium
267,120000,61.52,3,1950.59,Pacurari-Canta,Vechi (Pre-1977),Nespecificat,Standard/Urban
268,72000,39.0,1,1846.15,Podu-Ros-Cantemir,Clasic (1977-2000),Nespecificat,Standard/Urban
269,82000,42.0,2,1952.38,Pacurari-Canta,Vechi (Pre-1977),Nespecificat,Standard/Urban
270,156000,84.0,3,1857.14,Pacurari-Canta,Clasic (1977-2000),Decomandat,Standard/Urban
275,55000,28.0,1,1964.29,Tatarasi-Tudor,Vechi (Pre-1977),Decomandat,Standard/Urban
288,105000,57.0,2,1842.11,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
297,90000,57.0,2,1578.95,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
311,82999,54.0,2,1537.02,Centru-Civic,Nou (Post-2000),Nespecificat,Premium
317,62500,39.0,2,1602.56,Alexandru-Dacia,Vechi (Pre-1977),Semidecomandat,Standard/Urban
321,57000,37.0,2,1540.54,Alexandru-Dacia,Vechi (Pre-1977),Decomandat,Standard/Urban
325,194900,86.0,3,2266.28,Tatarasi-Tudor,Nou (Post-2000),Nespecificat,Standard/Urban
329,122990,52.0,2,2365.19,Nicolina-CUG,Nou (Post-2000),Decomandat,Accesibil/Rezidential
337,42900,33.0,1,1300.0,Podu-Ros-Cantemir,Clasic (1977-2000),Nespecificat,Standard/Urban
344,73000,60.0,3,1216.67,Nicolina-CUG,Nou (Post-2000),Nespecificat,Accesibil/Rezidential
350,115000,58.0,3,1982.76,Podu-Ros-Cantemir,Clasic (1977-2000),Semidecomandat,Standard/Urban
358,119500,67.0,3,1783.58,Pacurari-Canta,Nou (Post-2000),Nespecificat,Standard/Urban
372,47000,24.0,1,1958.33,Nicolina-CUG,Vechi (Pre-1977),Nespecificat,Accesibil/Rezidential
377,105000,42.0,2,2500.0,Nicolina-CUG,Nou (Post-2000),Nespecificat,Accesibil/Rezidential
382,47500,24.12,1,1969.32,Tatarasi-Tudor,Vechi (Pre-1977),Nespecificat,Standard/Urban
383,55000,26.0,1,2115.38,Podu-Ros-Cantemir,Clasic (1977-2000),Decomandat,Standard/Urban
384,55000,33.0,1,1666.67,Bucium,Nou (Post-2000),Nespecificat,Periferie
389,118500,50.0,2,2370.0,Tatarasi-Tudor,Nou (Post-2000),Nespecificat,Standard/Urban
